BAN,Order  
146216263,1919797538
146167314,1825863416
146100072,1937333931
141836661,1954858203
145896628,1925886822
145757468,1841175602
145648751,1894573731
146236672,1959270891
145885008,1932436701
146223252,1957347795
146246033,1933846077
144730844,1924574474
146246951,1961260827
146241524,1930750278
146248256,1932192606
144521586,1995454295
141871519,1837943024
145983360,1919386275
145957418,1789580216
145994935,1893072669
145991669,1881661994
145988732,1892406957
145956845,1875400634
145962651,1921977531
145887260,1920553539
145982086,1949862719
146212914,1831979048
146123531,1913124669
146268021,1935446790
145293955,1935994542
146272898,1998790415
144964755,1920312582
142082862,1966079379
146294515,1845292088
146166484,2003144015
146305048,1847590472
146307479,1970623323
145945441,1873405154
145942082,1789190623
145952595,1947222191
145609239,1814428202
146267267,1927875458
145026403,1946761821
145743445,1838774138
145433903,1824078117
146170267,1911529250
146290502,1942114269
146218797,1989078983
146270701,1938873141
146136774,1914922422
146144547,1821408368
146289650,1967399619
146364517,1856414816
146247147,1838064008
146295366,1932703562
144929794,2016537791
145107005,1956157341
145936260,1983206787
146293957,1845256928
146407806,1960433085
146140258,1820519840
146269157,1841097536
145922840,1953228386
146419266,1953864218
146379871,1981473219
146098852,1983384123
146373407,1954177797
146140255,1915342350
146129774,1913109318
145344220,1839826564
146447768,1962873966
144052016,1870746992
146451728,1964725710
144624660,1996736187
146265830,1936545453
145996226,1892217462
146062667,1892658938
146381399,2016145439
145041723,1971308022
146493997,2036020823
146312511,1850293856
140566090,2021393663
146511583,2037881423
139374337,1974966477
146274096,1998729839
145831368,1854455066
146515947,1881750128
146440937,1965870837
146514774,1973803182
145995132,1942347549
145804599,1904545108
146376391,2014977767
145579030,1962070965
146467967,1961915642
144942333,1982460765
146297070,1933737050
146380371,1981486443
146468018,1873753568
146540230,1782436921
146578149,1894418048
146451801,1966619325
146302278,1969727427
146591333,1989157869
146438877,1990660587
145452471,2016096291
146508218,1880584904
144235335,1582598274
143702004,1987592757
146296696,1939292958
140566090,2044663631
146468673,1995520707
144782309,1992038421
145934854,1884010062
144814926,1971866142
146616815,1898786432
145247777,1831094643
143309470,1987847930
146618597,2055508343
146619418,1900019192
146420832,1961852421
146624625,1991236638
142915286,1975838903
146622253,1900151120
146626103,1994588421
146625630,1994511861
146558008,1983484389
146461216,1872385016
146654127,1995995238
146656633,1999540389
146558008,1983484389
145847668,1975462202
146484347,1876986032
146419782,1866252920
146506629,1972828254
146553193,2043721295
146682572,2001051726
146577259,2011800723
145651369,1821661298
146372663,1946499338
146381988,2015799863
146219527,1927378950
146423637,1959018150
142214394,2037858335
143918395,1986856991
146512124,1973362062
146451271,1993305867
146505332,1976513997
146504298,2037203807
146592498,2050691951
146614040,1986590354
146722163,2005005314
146646336,1997926389
146672598,2064919511
146553121,1979267214
146583582,2015566707
145176542,#FPS101180 
146742811,1919689112
146656182,2024719707
146638551,2022282987
145345040,1991103698
146641842,1991280506
146644981,2023436763
146727239,2005841810
146729288,2073188375
146734116,1918258232
146502647,1879645448
146667894,2063973335
146611612,1897848728
146768227,2013666870
146683634,2005069773
146631633,1995415341
146094479,2044866555
146683128,2001263142
146758892,2078980823
146583582,2015566707
146600813,1896336368
146642867,1991335514
146593759,2014630083
146758723,2012241990
146757440,2011200314
146408202,1959816477
146440436,1964750037
146728458,1918194512
146553121,1979267214
146642691,2059856351
146627817,1900392032
146236011,1908834224
146741784,2075823239
146670870,1996840034
146674225,1999663278
146728236,2010922533
146483504,1972197501
146387146,1947638930
146420832,1961852421
146671056,1998940470
146417500,1958235822
146738176,2008929198
146722302,2035170243
146676492,2065080503
146504637,1976185485
146618362,2019003363
145997059,1922958003
145647864,1821498386
146585492,2049169175
146673550,2028763539
146673803,2002989957
146164169,1920748917
146173886,1983146879
145333189,1855832063
146789410,1927275296
146645053,1903212656
146667894,2063973335
146585492,2049169175
146673550,2028763539
146792643,2017090202
146790512,1927988864
146795681,2046965835
146790690,2085022487
146798859,2047578363
146643704,1997581053
145227928,1891059678
146778051,2044231707
145952409,1780588129
145947966,1874283962
145677306,1841071182
145623661,1891153635
145963652,1916765907
146817314,1931989832
146815674,2022400182
146819874,2022334278
146824945,2023069490
146732528,2008695774
146828999,2090690471
146827093,2090695655
146829808,2028259701
146829000,2023762254
143413231,1916980221
146732528,2008695774
146834556,2025269670
143560555,2022127614
146211362,2052897915
146507220,1882250456
146253924,1932490086
146646576,1994776566
146643716,1903440296
146669394,2063840231
146670096,2064029207
146846779,2055381411
146504398,2093867759
146829140,2026824986
146732528,2008695774
146849905,2031702237
146851912,1937838200
146793184,2094946055
146450575,2028235658
141927604,2034779925
146410884,2020973471
146340033,1949624037
146584112,1893677312
146108183,2036845799
146677444,1998985658
146739097,2075955311
146421860,1987818507
146596344,1983697346
146792894,2084493719
146108183,2036845799
146855963,2028036170
146625377,2020287843
145073443,2034434522
146060541,2064569643
146922117,1948995176
145914823,2028698238
146626417,1900664216
146940536,2046422349
146942877,2070372915
146216263,2043268610
146820732,2027307189
146929096,2107274063
146738481,2037696795
146929096,2107274063
146062667,2044059314
146638424,1994323062
146949511,1954160024
146948382,2071499403
146820148,1932493880
146738481,2037696795
144629915,1893864488
146952928,2043048246
144661557,1954471760
146951355,2043119646
146955014,1954614800
146949145,2044451402
146954359,2071794291
146950008,2048364717
144652675,2043331254
146103265,2044571138
144652675,1937140350
146951267,2044569818
146944682,2071809243
146952004,2048497077
146955492,2111560847
146939272,2068933059
146762960,2042048523
146790316,1928309120
146859485,2095907327
146651075,1995571926
146951397,2111722007
144287600,2043684078
146953363,2044898066
146950152,2072194827
146952122,2043704694
146950546,2044299938
146950550,2072122899
144807426,2043764910
146918848,1948637936
146951190,2110578215
146804591,2086265423
146954275,2044006926
146328899,2112137855
146952843,2045414306
146951375,2043338358
146949161,2070670899
146664634,2000379477
146956850,2072649219
146973886,2116435247
146980300,1959957008
146855087,2095623959
144195477,2077694475
144495384,2112607463
146999824,2051411358
145734366,1836082394
146684238,1999842242
146816627,2022599862
145515067,2022102794
146847152,2055051099
146853614,1939044776
147038473,2085826851
147032998,2126056463
146579196,2047386263
146669030,2002078893
146732644,2006479082
144769055,1924869198
146156761,1947021267
146164660,1948433211
145611847,1884772420
146248699,1993996319
146998203,2056695357
146792328,2017812798
146979957,1959233936
146762833,2017131789
146785972,2045995755
146904827,2036814558
144470592,2129321135
147056916,1972513760
146117754,4999101301
146920538,2039404850
147061090,2129939543
146736360,2037595131
147062235,2068385085
146847908,2032816749
146635381,2021770971
146491969,1966478186
146723023,2006712510
147082320,1976743016
147084623,2064406638
147084283,2133495527
146042370,2068108106
146773822,2015521686
146744135,2014048341
147097455,2072790261
147098639,2070216842
147102827,2067471678
144694336,1943638677
144387323,4999101320
145746441,4999101360
146987448,1961025176
147140336,2081289045
147143611,1987834904
147144479,2103232683
146972494,2119753823
145746441,#FPS101360 
144313821,1945742934
147165501,2084678469
147164428,2078374110
147163385,2148187463
147165233,2084849205
145260645,2082775730
146252895,2106603023
146943252,2069725611
146311734,#FPS101380 
147010534,2058098421
147173987,2150392247
147121098,2140981895
147172999,2150792063
146680149,1910205872
147178772,2109686763
146808726,2020535358
144521586,1995454295
146852578,2056226691
147012596,2122172735
147015474,2053862766
147013405,2059443765
146417966,1952958626
147092347,1978921544
147097227,2067416598
147102078,2095949331
147097861,2096260611
147102120,1980325736
146155409,1918925781
146331617,1851956864
146332843,1946190314
146381452,1981148955
146372969,1946531282
146313212,1848423344
145741939,1837245122
146718121,2006027046
147108993,2141316383
145482194,1792292522
146410563,1951708730
147060973,2089948779
147123045,2075189066
145884121,1883024190
145897271,2076123147
147137499,2143224791
146806929,2020064334
145260645,2082775730
147173537,2086319229
145746441, #FPS101360 
146670319,1963345256
147178381,2113292643
147211753,1999484984
147053695,2062196594
146299736,1942321437
147177884,2151136271
147176935,2087723637
145581076,2089493766
147012645,2056216274
146495662,1999646595
147003396,2120059079
147088359,2094154443
145437557,1854944188
146619993,2055622055
146927167,2039326514
146926122,2039021694
146926124,2039054358
147166023,2080163886
147003144,2054370578
147011109,2058933621
147009551,2089101819
147136091,2143301183
146828843,2048185778
147174192,2150914799
146586233,1988767989
147133883,2142508271
145852770,2091490922
147269385,2009447672
147269146,2100863042
